playerID,name,source_group,primary_position,season,fangraphs_name,team,age,games,plate_appearances,at_bats,hits,home_runs,runs_batted_in,runs,stolen_bases,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,batting_fwar,batting_match_type
kalinal01,Al Kaline,Official Induction,OF,1971,Al Kaline,DET,38,477,1792,1551,431,48,195,226,11,0.277885235,0.362213527,0.424242424,0.786455951,7.5399066597359266,matched
kalinal01,Al Kaline,Official Induction,OF,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1924,Al Simmons,PHA,25,958,4189,3836,1380,151,877,711,58,0.359749739,0.399657785,0.589937434,0.989595219,38.99606145915562,matched
simmoal01,Al Simmons,Official Induction,OF,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1931,Al Simmons,6 Tms,34,1204,5154,4760,1514,155,935,785,30,0.318067226,0.368605329,0.5,0.868605329,31.2572463993177,matched
simmoal01,Al Simmons,Official Induction,OF,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1941,Al Simmons,2 Tms,41,53,172,163,33,1,15,11,0,0.202453987,0.244186046,0.257668711,0.501854757,-0.8463870075344805,matched
simmoal01,Al Simmons,Official Induction,OF,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
simmoal01,Al Simmons,Official Induction,OF,1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
spaldal01,Al Spalding,Corrective Induction,P,1871,Al Spalding,2 Tms,24,411,1987,1958,613,2,327,417,10,0.313074565,0.32310015,0.381511746,0.704611896,8.490673102443083,matched
spaldal01,Al Spalding,Corrective Induction,P,1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
spaldal01,Al Spalding,Corrective Induction,P,1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
spaldal01,Al Spalding,Corrective Induction,P,1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
spaldal01,Al Spalding,Corrective Induction,P,1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
spaldal01,Al Spalding,Corrective Induction,P,1876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
spaldal01,Al Spalding,Corrective Induction,P,1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
spaldal01,Al Spalding,Corrective Induction,P,1878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1977,Alan Trammell,DET,21,446,1724,1511,423,17,149,230,32,0.279947054,0.348108747,0.363997352,0.712106099,6.7329123745873245,matched
trammal01,Alan Trammell,Official Induction,SS,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1981,Alan Trammell,DET,28,1389,5891,5191,1506,135,661,779,167,0.290117511,0.357241142,0.436139472,0.793380614,50.809563017156655,matched
trammal01,Alan Trammell,Official Induction,SS,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
