playerID,name,source_group,primary_position,batting_seasons_matched,batting_games,hits,home_runs,runs_batted_in,stolen_bases,career_batting_fwar,career_batting_average,pitching_seasons_matched,pitching_games,wins,losses,saves,strikeouts,career_pitching_fwar,career_total_fwar
whitede01,Deacon White,Official Induction,3B,20,1560,2066,23,977,57,41.1,0.312,2,2,0,0,1,3,0.1,41.2
eckerde01,Dennis Eckersley,Official Induction,P,4,146,24,3,12,0,0,0.133,24,1071,197,171,390,2401,61.8,61.8
jeterde01,Derek Jeter,Official Induction,SS,20,2747,3465,260,1311,358,73,0.31,0,0,0,0,0,0,0,73
allendi01,Dick Allen,Official Induction,1B,15,1749,1848,351,1119,133,61.3,0.292,0,0,0,0,0,0,0,61.3
deandi01,Dizzy Dean,Official Induction,P,11,324,161,8,76,5,1.4,0.225,12,317,150,83,30,1163,40.4,41.8
drysddo01,Don Drysdale,Official Induction,P,14,547,218,29,113,0,6.3,0.186,14,518,209,166,6,2486,59.3,65.6
suttodo01,Don Sutton,Official Induction,P,18,611,195,0,64,1,-1.2,0.144,23,774,324,256,5,3574,85.5,84.3
snidedu01,Duke Snider,Official Induction,OF,18,2143,2116,407,1333,99,63.5,0.295,0,0,0,0,0,0,0,63.5
pedrodu01,Dustin Pedroia,Corrective Induction,2B,14,1512,1805,140,725,138,44.8,0.299,0,0,0,0,0,0,0,44.8
evansdw01,Dwight Evans,Corrective Induction,OF,20,2606,2446,385,1384,78,65.1,0.272,0,0,0,0,0,0,0,65.1
goodedw01,Dwight Gooden,Corrective Induction,P,15,397,145,8,67,1,3.9,0.196,16,430,194,112,3,2293,56.7,60.6
averiea01,Earl Averill,Official Induction,OF,13,1668,2019,238,1164,70,47.9,0.318,0,0,0,0,0,0,0,47.9
combsea01,Earle Combs,Official Induction,OF,12,1455,1866,58,632,96,41.5,0.325,0,0,0,0,0,0,0,41.5
wynnea01,Early Wynn,Official Induction,P,23,796,365,17,173,1,9,0.214,23,691,300,244,15,2334,58.5,67.5
delahed01,Ed Delahanty,Official Induction,OF,16,1835,2596,101,1464,455,73.7,0.346,0,0,0,0,0,0,0,73.7
walshed01,Ed Walsh,Official Induction,P,13,457,210,3,68,14,2.1,0.193,14,430,195,126,34,1736,49.2,51.3
roushed01,Edd Roush,Official Induction,OF,18,1967,2376,68,981,268,49.7,0.323,0,0,0,0,0,0,0,49.7
cicoted01,Eddie Cicotte,Corrective Induction,P,14,504,198,0,58,6,1.3,0.186,14,502,208,149,25,1374,47.3,48.6
collied01,Eddie Collins,Official Induction,2B,25,2826,3315,47,1300,744,120.1,0.333,0,0,0,0,0,0,0,120.1
matheed01,Eddie Mathews,Official Induction,3B,17,2391,2315,512,1453,68,96.1,0.271,0,0,0,0,0,0,0,96.1
murraed02,Eddie Murray,Official Induction,1B,21,3026,3255,504,1917,110,72,0.287,0,0,0,0,0,0,0,72
planked01,Eddie Plank,Official Induction,P,17,630,331,3,122,13,3.7,0.206,17,623,326,194,23,2246,67.8,71.5
martied01,Edgar Martinez,Official Induction,3B,18,2055,2248,309,1262,49,65.5,0.312,0,0,0,0,0,0,0,65.5
