playerID,name,debut,finalGame,primary_position,source_group,fangraphs_name,fangraphs_playerid,debut_year,final_year,player_name_key,fangraphs_name_key
biggicr01,Craig Biggio,1988,2007,2B,Official Induction,NA,,1988,2007,craig biggio,craig biggio
kimbrcr01,Craig Kimbrel,2010,NA,P,Active Induction,NA,,2010,2026,craig kimbrel,craig kimbrel
torricr99,Cristóbal Torriente,1913,NA,OF,Official Induction,NA,,1913,2026,cristobal torriente,cristobal torriente
schilcu01,Curt Schilling,1988,2007,P,Statistical Induction,NA,,1988,2007,curt schilling,curt schilling
youngcy01,Cy Young,1890,1911,P,Official Induction,NA,,1890,1911,cy young,cy young
murphda05,Dale Murphy,1976,1993,OF,Corrective Induction,Dale Murphy,,1976,1993,dale murphy,dale murphy
broutda01,Dan Brouthers,1879,1904,1B,Official Induction,NA,,1879,1904,dan brouthers,dan brouthers
bancrda01,Dave Bancroft,1915,1930,SS,Official Induction,NA,,1915,1930,dave bancroft,dave bancroft
parkeda01,Dave Parker,1973,1991,OF,Official Induction,NA,,1973,1991,dave parker,dave parker
stiebda01,Dave Stieb,1979,1998,P,Corrective Induction,NA,,1979,1998,dave stieb,dave stieb
winfida01,Dave Winfield,1973,1995,OF,Official Induction,NA,,1973,1995,dave winfield,dave winfield
ortizda01,David Ortiz,1997,2016,1B,Official Induction,NA,,1997,2016,david ortiz,david ortiz
wrightda03,David Wright,2004,2018,3B,Corrective Induction,David Wright,,2004,2018,david wright,david wright
vanceda01,Dazzy Vance,1915,1935,P,Official Induction,NA,,1915,1935,dazzy vance,dazzy vance
whitede01,Deacon White,1871,1890,3B,Official Induction,NA,,1871,1890,deacon white,deacon white
eckerde01,Dennis Eckersley,1975,1998,P,Official Induction,NA,,1975,1998,dennis eckersley,dennis eckersley
jeterde01,Derek Jeter,1995,2014,SS,Official Induction,NA,,1995,2014,derek jeter,derek jeter
allendi01,Dick Allen,1963,1977,1B,Official Induction,NA,,1963,1977,dick allen,dick allen
deandi01,Dizzy Dean,1930,1947,P,Official Induction,NA,,1930,1947,dizzy dean,dizzy dean
drysddo01,Don Drysdale,1956,1969,P,Official Induction,NA,,1956,1969,don drysdale,don drysdale
suttodo01,Don Sutton,1966,1988,P,Official Induction,NA,,1966,1988,don sutton,don sutton
snidedu01,Duke Snider,1947,1964,OF,Official Induction,NA,,1947,1964,duke snider,duke snider
pedrodu01,Dustin Pedroia,2006,2019,2B,Corrective Induction,Dustin Pedroia,,2006,2019,dustin pedroia,dustin pedroia
evansdw01,Dwight Evans,1972,1991,OF,Corrective Induction,Dwight Evans,,1972,1991,dwight evans,dwight evans
goodedw01,Dwight Gooden,1984,2000,P,Corrective Induction,NA,,1984,2000,dwight gooden,dwight gooden
averiea01,Earl Averill,1929,1941,OF,Official Induction,Earl Averill Sr.,,1929,1941,earl averill,earl averill sr
combsea01,Earle Combs,1924,1935,OF,Official Induction,NA,,1924,1935,earle combs,earle combs
wynnea01,Early Wynn,1939,1963,P,Official Induction,NA,,1939,1963,early wynn,early wynn
delahed01,Ed Delahanty,1888,1903,OF,Official Induction,NA,,1888,1903,ed delahanty,ed delahanty
walshed01,Ed Walsh,1904,1917,P,Official Induction,NA,,1904,1917,ed walsh,ed walsh
roushed01,Edd Roush,1913,1931,OF,Official Induction,NA,,1913,1931,edd roush,edd roush
cicoted01,Eddie Cicotte,1905,1920,P,Corrective Induction,NA,,1905,1920,eddie cicotte,eddie cicotte
collied01,Eddie Collins,1906,1930,2B,Official Induction,Eddie Collins Sr.,,1906,1930,eddie collins,eddie collins sr
matheed01,Eddie Mathews,1952,1968,3B,Official Induction,NA,,1952,1968,eddie mathews,eddie mathews
murraed02,Eddie Murray,1977,1997,1B,Official Induction,NA,,1977,1997,eddie murray,eddie murray
planked01,Eddie Plank,1901,1917,P,Official Induction,NA,,1901,1917,eddie plank,eddie plank
martied01,Edgar Martinez,1987,2004,3B,Official Induction,NA,,1987,2004,edgar martinez,edgar martinez
flickel01,Elmer Flick,1898,1910,OF,Official Induction,NA,,1898,1910,elmer flick,elmer flick
slaugen01,Enos Slaughter,1938,1959,OF,Official Induction,NA,,1938,1959,enos slaughter,enos slaughter
rixeyep01,Eppa Rixey,1912,1933,P,Official Induction,NA,,1912,1933,eppa rixey,eppa rixey
bankser01,Ernie Banks,1953,1971,1B,Official Induction,NA,,1953,1971,ernie banks,ernie banks
lombaer01,Ernie Lombardi,1931,1947,C,Official Induction,NA,,1931,1947,ernie lombardi,ernie lombardi
hernafe02,Felix Hernandez,2005,2019,P,Corrective Induction,NA,,2005,2019,felix hernandez,felix hernandez
jenkife01,Fergie Jenkins,1965,1983,P,Official Induction,NA,,1965,1983,fergie jenkins,fergie jenkins
lindofr01,Francisco Lindor,2015,NA,SS,Active Induction,NA,,2015,2026,francisco lindor,francisco lindor
rodrifr03,Francisco Rodriguez,2002,2017,P,Corrective Induction,NA,,2002,2017,francisco rodriguez,francisco rodriguez
chancfr01,Frank Chance,1898,1914,1B,Official Induction,NA,,1898,1914,frank chance,frank chance
robinfr02,Frank Robinson,1956,1976,OF,Official Induction,NA,,1956,1976,frank robinson,frank robinson
thomafr04,Frank Thomas,1990,2008,1B,Official Induction,NA,,1990,2008,frank thomas,frank thomas
friscfr01,Frankie Frisch,1919,1937,2B,Official Induction,NA,,1919,1937,frankie frisch,frankie frisch
clarkfr01,Fred Clarke,1894,1915,OF,Official Induction,NA,,1894,1915,fred clarke,fred clarke
mcgrifr01,Fred McGriff,1986,2004,1B,Official Induction,NA,,1986,2004,fred mcgriff,fred mcgriff
freemfr01,Freddie Freeman,2010,NA,1B,Active Induction,NA,,2010,2026,freddie freeman,freddie freeman
lindsfr01,Freddie Lindstrom,1924,1936,3B,Official Induction,NA,,1924,1936,freddie lindstrom,freddie lindstrom
hartnga01,Gabby Hartnett,1922,1941,C,Official Induction,NA,,1922,1941,gabby hartnett,gabby hartnett
cartega01,Gary Carter,1974,1992,C,Official Induction,NA,,1974,1992,gary carter,gary carter
sheffga01,Gary Sheffield,1988,2009,OF,Statistical Induction,NA,,1988,2009,gary sheffield,gary sheffield
perryga01,Gaylord Perry,1962,1983,P,Official Induction,NA,,1962,1983,gaylord perry,gaylord perry
brettge01,George Brett,1973,1993,3B,Official Induction,NA,,1973,1993,george brett,george brett
davisge01,George Davis,1890,1909,SS,Official Induction,NA,,1890,1909,george davis,george davis
kellge01,George Kell,1943,1957,3B,Official Induction,NA,,1943,1957,george kell,george kell
kellyge01,George Kelly,1915,1932,1B,Official Induction,NA,,1915,1932,george kelly,george kelly
sislege01,George Sisler,1915,1930,1B,Official Induction,NA,,1915,1930,george sisler,george sisler
colege01,Gerrit Cole,2013,NA,P,Active Induction,NA,,2013,2026,gerrit cole,gerrit cole
stantmi03,Giancarlo Stanton,2010,NA,OF,Active Induction,NA,,2010,2026,giancarlo stanton,giancarlo stanton
hodgegi01,Gil Hodges,1943,1963,1B,Official Induction,NA,,1943,1963,gil hodges,gil hodges
gosligo01,Goose Goslin,1921,1938,OF,Official Induction,NA,,1921,1938,goose goslin,goose goslin
nettlgr01,Graig Nettles,1967,1988,3B,Corrective Induction,Graig Nettles,,1967,1988,graig nettles,graig nettles
maddugr01,Greg Maddux,1986,2008,P,Official Induction,NA,,1986,2008,greg maddux,greg maddux
wilsoha01,Hack Wilson,1923,1934,OF,Official Induction,NA,,1923,1934,hack wilson,hack wilson
newhoha01,Hal Newhouser,1939,1955,P,Official Induction,NA,,1939,1955,hal newhouser,hal newhouser
aaronha01,Hank Aaron,1954,1976,OF,Official Induction,NA,,1954,1976,hank aaron,hank aaron
greenha01,Hank Greenberg,1930,1947,1B,Official Induction,NA,,1930,1947,hank greenberg,hank greenberg
killeha01,Harmon Killebrew,1954,1975,1B,Official Induction,NA,,1954,1975,harmon killebrew,harmon killebrew
baineha01,Harold Baines,1980,2001,OF,Official Induction,NA,,1980,2001,harold baines,harold baines
heilmha01,Harry Heilmann,1914,1932,OF,Official Induction,NA,,1914,1932,harry heilmann,harry heilmann
hoopeha01,Harry Hooper,1909,1925,OF,Official Induction,NA,,1909,1925,harry hooper,harry hooper
manushe01,Heinie Manush,1923,1939,OF,Official Induction,NA,,1923,1939,heinie manush,heinie manush
pennohe01,Herb Pennock,1912,1934,P,Official Induction,NA,,1912,1934,herb pennock,herb pennock
smithhi99,Hilton Smith,NA,1948,P,Official Induction,NA,,1871,1948,hilton smith,hilton smith
bakerfr01,Home Run Baker,1908,1922,3B,Official Induction,NA,,1908,1922,home run baker,home run baker
wagneho01,Honus Wagner,1897,1917,SS,Official Induction,NA,,1897,1917,honus wagner,honus wagner
wilheho01,Hoyt Wilhelm,1952,1972,P,Official Induction,NA,,1952,1972,hoyt wilhelm,hoyt wilhelm
duffyhu01,Hugh Duffy,1888,1906,OF,Official Induction,NA,,1888,1906,hugh duffy,hugh duffy
jennihu01,Hughie Jennings,1891,1918,SS,Official Induction,NA,,1891,1918,hughie jennings,hughie jennings
suzukic01,Ichiro Suzuki,2001,2019,OF,Official Induction,NA,,2001,2019,ichiro suzuki,ichiro suzuki
rodriiv01,Ivan Rodriguez,1991,2011,C,Official Induction,NA,,1991,2011,ivan rodriguez,ivan rodriguez
chesbja01,Jack Chesbro,1899,1909,P,Official Induction,NA,,1899,1909,jack chesbro,jack chesbro
morrija02,Jack Morris,1977,1994,P,Official Induction,NA,,1977,1994,jack morris,jack morris
robinja02,Jackie Robinson,1947,1956,2B,Official Induction,NA,,1947,1956,jackie robinson,jackie robinson
degroja01,Jacob deGrom,2014,NA,P,Active Induction,NA,,2014,2026,jacob degrom,jacob degrom
becklja01,Jake Beckley,1888,1907,1B,Official Induction,NA,,1888,1907,jake beckley,jake beckley
moyerja01,Jamie Moyer,1986,2012,P,Corrective Induction,NA,,1986,2012,jamie moyer,jamie moyer
bagweje01,Jeff Bagwell,1991,2005,1B,Official Induction,NA,,1991,2005,jeff bagwell,jeff bagwell
kentje01,Jeff Kent,1992,2008,2B,Official Induction,NA,,1992,2008,jeff kent,jeff kent
burkeje01,Jesse Burkett,1890,1905,OF,Official Induction,NA,,1890,1905,jesse burkett,jesse burkett
haineje01,Jesse Haines,1918,1937,P,Official Induction,NA,,1918,1937,jesse haines,jesse haines
bottoji01,Jim Bottomley,1922,1937,1B,Official Induction,NA,,1922,1937,jim bottomley,jim bottomley
bunniji01,Jim Bunning,1955,1971,P,Official Induction,NA,,1955,1971,jim bunning,jim bunning
kaatji01,Jim Kaat,1959,1983,P,Official Induction,NA,,1959,1983,jim kaat,jim kaat
mccorji01,Jim McCormick,1878,1887,P,Corrective Induction,NA,,1878,1887,jim mccormick,jim mccormick
orourji01,Jim O'Rourke,1872,1904,OF,Official Induction,NA,,1872,1904,jim o rourke,jim o rourke
palmeji01,Jim Palmer,1965,1984,P,Official Induction,NA,,1965,1984,jim palmer,jim palmer
riceji01,Jim Rice,1974,1989,OF,Official Induction,NA,,1974,1989,jim rice,jim rice
thomeji01,Jim Thome,1991,2012,1B,Official Induction,NA,,1991,2012,jim thome,jim thome
foxxji01,Jimmie Foxx,1925,1945,1B,Official Induction,NA,,1925,1945,jimmie foxx,jimmie foxx
colliji01,Jimmy Collins,1895,1908,3B,Official Induction,NA,,1895,1908,jimmy collins,jimmy collins
cronijo01,Joe Cronin,1926,1945,SS,Official Induction,NA,,1926,1945,joe cronin,joe cronin
dimagjo01,Joe DiMaggio,1936,1951,OF,Official Induction,NA,,1936,1951,joe dimaggio,joe dimaggio
gordojo01,Joe Gordon,1938,1950,2B,Official Induction,NA,,1938,1950,joe gordon,joe gordon
jacksjo01,Joe Jackson,1908,1920,OF,Corrective Induction,Joe Jackson,,1908,1920,joe jackson,joe jackson
kellejo01,Joe Kelley,1891,1908,OF,Official Induction,NA,,1891,1908,joe kelley,joe kelley
mauerjo01,Joe Mauer,2004,2018,C,Official Induction,NA,,2004,2018,joe mauer,joe mauer
mcginjo01,Joe McGinnity,1899,1908,P,Official Induction,NA,,1899,1908,joe mcginnity,joe mcginnity
medwijo01,Joe Medwick,1932,1948,OF,Official Induction,NA,,1932,1948,joe medwick,joe medwick
morgajo02,Joe Morgan,1963,1984,2B,Official Induction,NA,,1963,1984,joe morgan,joe morgan
nathajo01,Joe Nathan,1999,2016,P,Corrective Induction,NA,,1999,2016,joe nathan,joe nathan
seweljo01,Joe Sewell,1920,1933,SS,Official Induction,NA,,1920,1933,joe sewell,joe sewell
tinkejo01,Joe Tinker,1902,1916,SS,Official Induction,NA,,1902,1916,joe tinker,joe tinker
willijo99,Joe Williams,NA,1932,P,Official Induction,NA,,1871,1932,joe williams,joe williams
vottojo01,Joey Votto,2007,2023,1B,Corrective Induction,Joey Votto,,2007,2023,joey votto,joey votto
santajo02,Johan Santana,2000,2012,P,Corrective Induction,NA,,2000,2012,johan santana,johan santana
clarkjo01,John Clarkson,1882,1894,P,Official Induction,NA,,1882,1894,john clarkson,john clarkson
francjo01,John Franco,1984,2005,P,Corrective Induction,NA,,1984,2005,john franco,john franco
lloydpo99,John Henry Lloyd,1912,NA,SS,Official Induction,NA,,1912,2026,john henry lloyd,john henry lloyd
hillejo01,John Hiller,1965,1980,P,Corrective Induction,NA,,1965,1980,john hiller,john hiller
olerujo01,John Olerud,1989,2005,1B,Corrective Induction,John Olerud,,1989,2005,john olerud,john olerud
smoltjo01,John Smoltz,1988,2009,P,Official Induction,NA,,1988,2009,john smoltz,john smoltz
wardjo01,John Ward,1878,1894,SS,Official Induction,NA,,1878,1894,john ward,john ward
benchjo01,Johnny Bench,1967,1983,C,Official Induction,NA,,1967,1983,johnny bench,johnny bench
eversjo01,Johnny Evers,1902,1929,2B,Official Induction,NA,,1902,1929,johnny evers,johnny evers
mizejo01,Johnny Mize,1936,1953,1B,Official Induction,NA,,1936,1953,johnny mize,johnny mize
altuvjo01,Jose Altuve,2011,NA,2B,Active Induction,NA,,2011,2026,jose altuve,jose altuve
ramirjo01,Jose Ramirez,2013,NA,3B,Active Induction,NA,,2013,2026,jose ramirez,jose ramirez
gibsojo99,Josh Gibson,NA,1946,C,Official Induction,NA,,1871,1946,josh gibson,josh gibson
mendejo99,José Méndez,1912,1926,P,Official Induction,NA,,1912,1926,jose mendez,jose mendez
maricju01,Juan Marichal,1960,1975,P,Official Induction,NA,,1960,1975,juan marichal,juan marichal
sotoju01,Juan Soto,2018,NA,OF,Active Induction,NA,,2018,2026,juan soto,juan soto
wilsoju99,Jud Wilson,NA,1945,3B,Official Induction,NA,,1871,1945,jud wilson,jud wilson
johnsju99,Judy Johnson,NA,1936,3B,Official Induction,NA,,1871,1936,judy johnson,judy johnson
verlaju01,Justin Verlander,2005,NA,P,Statistical Induction,NA,,2005,2026,justin verlander,justin verlander
hernake01,Keith Hernandez,1974,1990,1B,Corrective Induction,Keith Hernandez,,1974,1990,keith hernandez,keith hernandez
griffke02,Ken Griffey Jr.,1989,2010,OF,Official Induction,NA,,1989,2010,ken griffey jr,ken griffey jr
janseke01,Kenley Jansen,2010,NA,P,Active Induction,NA,,2010,2026,kenley jansen,kenley jansen
loftoke01,Kenny Lofton,1991,2007,OF,Corrective Induction,Kenny Lofton,,1991,2007,kenny lofton,kenny lofton
brownke01,Kevin Brown,1986,2005,P,Corrective Induction,NA,,1986,2005,kevin brown,kevin brown
nichoki01,Kid Nichols,1890,1906,P,Official Induction,NA,,1890,1906,kid nichols,kid nichols
cuyleki01,Kiki Cuyler,1921,1938,OF,Official Induction,NA,,1921,1938,kiki cuyler,kiki cuyler
kellyki01,King Kelly,1878,1893,OF,Official Induction,NA,,1878,1893,king kelly,king kelly
puckeki01,Kirby Puckett,1984,1995,OF,Official Induction,NA,,1984,1995,kirby puckett,kirby puckett
dobyla01,Larry Doby,1947,1959,OF,Official Induction,NA,,1947,1959,larry doby,larry doby
walkela01,Larry Walker,1989,2005,OF,Official Induction,NA,,1989,2005,larry walker,larry walker
smithle02,Lee Smith,1980,1997,P,Official Induction,NA,,1980,1997,lee smith,lee smith
gomezle01,Lefty Gomez,1930,1943,P,Official Induction,NA,,1930,1943,lefty gomez,lefty gomez
grovele01,Lefty Grove,1925,1941,P,Official Induction,NA,,1925,1941,lefty grove,lefty grove
dayle99,Leon Day,NA,1949,P,Official Induction,NA,,1871,1949,leon day,leon day
wanerll01,Lloyd Waner,1927,1945,OF,Official Induction,NA,,1927,1945,lloyd waner,lloyd waner
boudrlo01,Lou Boudreau,1938,1952,SS,Official Induction,NA,,1938,1952,lou boudreau,lou boudreau
brocklo01,Lou Brock,1961,1979,OF,Official Induction,NA,,1961,1979,lou brock,lou brock
gehrilo01,Lou Gehrig,1923,1939,1B,Official Induction,NA,,1923,1939,lou gehrig,lou gehrig
whitalo01,Lou Whitaker,1977,1995,2B,Corrective Induction,Lou Whitaker,,1977,1995,lou whitaker,lou whitaker
santolo99,Louis Santop,NA,NA,C,Official Induction,NA,,1871,2026,louis santop,louis santop
aparilu01,Luis Aparicio,1956,1973,SS,Official Induction,NA,,1956,1973,luis aparicio,luis aparicio
tiantlu01,Luis Tiant,1964,1982,P,Corrective Induction,NA,,1964,1982,luis tiant,luis tiant
applilu01,Luke Appling,1930,1950,SS,Official Induction,NA,,1930,1950,luke appling,luke appling
machama01,Manny Machado,2012,NA,3B,Active Induction,NA,,2012,2026,manny machado,manny machado
ramirma02,Manny Ramirez,1993,2011,OF,Statistical Induction,Manny Ramirez,,1993,2011,manny ramirez,manny ramirez
riverma01,Mariano Rivera,1995,2013,P,Official Induction,NA,,1995,2013,mariano rivera,mariano rivera
buehrma01,Mark Buehrle,2000,2015,P,Corrective Induction,NA,,2000,2015,mark buehrle,mark buehrle
mcgwima01,Mark McGwire,1986,2001,1B,Statistical Induction,NA,,1986,2001,mark mcgwire,mark mcgwire
dihigma99,Martín Dihigo,NA,1945,OF,Official Induction,NA,,1871,1945,martin dihigo,martin dihigo
careyma01,Max Carey,1910,1929,OF,Official Induction,NA,,1910,1929,max carey,max carey
scherma01,Max Scherzer,2008,NA,P,Statistical Induction,NA,,2008,2026,max scherzer,max scherzer
ottme01,Mel Ott,1926,1947,OF,Official Induction,NA,,1926,1947,mel ott,mel ott
cochrmi01,Mickey Cochrane,1925,1937,C,Official Induction,NA,,1925,1937,mickey cochrane,mickey cochrane
mantlmi01,Mickey Mantle,1951,1968,OF,Official Induction,NA,,1951,1968,mickey mantle,mickey mantle
welchmi01,Mickey Welch,1880,1892,P,Official Induction,NA,,1880,1892,mickey welch,mickey welch
cabremi01,Miguel Cabrera,2003,NA,1B,Statistical Induction,NA,,2003,2026,miguel cabrera,miguel cabrera
mussimi01,Mike Mussina,1991,2008,P,Official Induction,NA,,1991,2008,mike mussina,mike mussina
piazzmi01,Mike Piazza,1992,2007,C,Official Induction,NA,,1992,2007,mike piazza,mike piazza
schmimi01,Mike Schmidt,1972,1989,3B,Official Induction,NA,,1972,1989,mike schmidt,mike schmidt
troutmi01,Mike Trout,2011,NA,OF,Active Induction,NA,,2011,2026,mike trout,mike trout
minosmi01,Minnie Miñoso,1949,1980,OF,Official Induction,NA,,1949,1980,minnie minoso,minnie minoso
irvinmo01,Monte Irvin,1949,1956,OF,Official Induction,NA,,1949,1956,monte irvin,monte irvin
bettsmo01,Mookie Betts,2014,NA,OF,Active Induction,NA,,2014,2026,mookie betts,mookie betts
brownmo01,Mordecai Brown,1903,1916,P,Official Induction,NA,,1903,1916,mordecai brown,mordecai brown
suttlmu99,Mule Suttles,NA,1948,1B,Official Induction,NA,,1871,1948,mule suttles,mule suttles
lajoina01,Nap Lajoie,1896,1916,2B,Official Induction,NA,,1896,1916,nap lajoie,nap lajoie
foxne01,Nellie Fox,1947,1965,2B,Official Induction,NA,,1947,1965,nellie fox,nellie fox
arenano01,Nolan Arenado,2013,NA,3B,Active Induction,NA,,2013,2026,nolan arenado,nolan arenado
ryanno01,Nolan Ryan,1966,1993,P,Official Induction,Nolan Ryan Jr.,,1966,1993,nolan ryan,nolan ryan jr
radboch01,Old Hoss Radbourn,1880,1891,P,Official Induction,NA,,1880,1891,old hoss radbourn,old hoss radbourn
