playerID,image_url,name,source_group,bbref_url,image_source,mlbam_id
roganbu99,https://upload.wikimedia.org/wikipedia/commons/a/aa/Bullet_Joe_Rogan_1924.jpg,Bullet Rogan,Official Hall,https://www.baseball-reference.com/players/r/roganbu99.shtml,Wikimedia,NA
grimebu01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/115162/headshot/67/current",Burleigh Grimes,Official Hall,https://www.baseball-reference.com/players/g/grimebu01.shtml,MLB,115162
poseybu01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/457763/headshot/67/current",Buster Posey,Passed-Over Players,https://www.baseball-reference.com/players/p/poseybu01.shtml,MLB,457763
sabatcc01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/282332/headshot/67/current",CC Sabathia,Official Hall,https://www.baseball-reference.com/players/s/sabatcc01.shtml,MLB,282332
ripkeca01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/121222/headshot/67/current",Cal Ripken,Official Hall,https://www.baseball-reference.com/players/r/ripkeca01.shtml,MLB,121222
ansonca01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/110284/headshot/67/current",Cap Anson,Official Hall,https://www.baseball-reference.com/players/a/ansonca01.shtml,MLB,110284
hubbeca01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/116249/headshot/67/current",Carl Hubbell,Official Hall,https://www.baseball-reference.com/players/h/hubbeca01.shtml,MLB,116249
yastrca01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/124650/headshot/67/current",Carl Yastrzemski,Official Hall,https://www.baseball-reference.com/players/y/yastrca01.shtml,MLB,124650
beltrca01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/136860/headshot/67/current",Carlos Beltran,Official Hall,https://www.baseball-reference.com/players/b/beltrca01.shtml,MLB,136860
delgaca01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/113232/headshot/67/current",Carlos Delgado,Passed-Over Players,https://www.baseball-reference.com/players/d/delgaca01.shtml,MLB,113232
fiskca01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/114182/headshot/67/current",Carlton Fisk,Official Hall,https://www.baseball-reference.com/players/f/fiskca01.shtml,MLB,114182
hunteca01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/116334/headshot/67/current",Catfish Hunter,Official Hall,https://www.baseball-reference.com/players/h/hunteca01.shtml,MLB,116334
bendech01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/110850/headshot/67/current",Charles Bender,Official Hall,https://www.baseball-reference.com/players/b/bendech01.shtml,MLB,110850
gehrich01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/114682/headshot/67/current",Charlie Gehringer,Official Hall,https://www.baseball-reference.com/players/g/gehrich01.shtml,MLB,114682
utleych01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/400284/headshot/67/current",Chase Utley,Passed-Over Players,https://www.baseball-reference.com/players/u/utleych01.shtml,MLB,400284
lemonch01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/117669/headshot/67/current",Chet Lemon,Passed-Over Players,https://www.baseball-reference.com/players/l/lemonch01.shtml,MLB,117669
hafeych01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/115295/headshot/67/current",Chick Hafey,Official Hall,https://www.baseball-reference.com/players/h/hafeych01.shtml,MLB,115295
jonesch06,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/116706/headshot/67/current",Chipper Jones,Official Hall,https://www.baseball-reference.com/players/j/jonesch06.shtml,MLB,116706
salech01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/519242/headshot/67/current",Chris Sale,Active Hall,https://www.baseball-reference.com/players/s/salech01.shtml,MLB,519242
mathech01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/118422/headshot/67/current",Christy Mathewson,Official Hall,https://www.baseball-reference.com/players/m/mathech01.shtml,MLB,118422
